Diagnóstico principal (CIE10MC);Grupo de edad;Intervalos de estancia;Total;;https://datos.gob.es/es/catalogo/ea0010587-altas-hospitalarias-clasificadas-por-intervalos-de-estancia-segun-el-diagnostico-principal-y-el-grupo-de-edad-identificador-api-74882?utm_source=chatgpt.com
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);total;De 1 a 30 días;4.713.647;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);total;De 31 días a 6 meses;145.208;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);total;Más de 6 meses;7.890;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);menores de 1 año;De 1 a 30 días;106.466;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);menores de 1 año;De 31 días a 6 meses;3.727;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);menores de 1 año;Más de 6 meses;45;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 1 a 4 años;De 1 a 30 días;84.648;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 1 a 4 años;De 31 días a 6 meses;520;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 1 a 4 años;Más de 6 meses;28;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 5 a 14 años;De 1 a 30 días;130.177;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 5 a 14 años;De 31 días a 6 meses;1.537;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 5 a 14 años;Más de 6 meses;42;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 15 a 24 años;De 1 a 30 días;198.437;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 15 a 24 años;De 31 días a 6 meses;4.344;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 15 a 24 años;Más de 6 meses;471;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 25 a 34 años;De 1 a 30 días;366.205;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 25 a 34 años;De 31 días a 6 meses;4.718;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 25 a 34 años;Más de 6 meses;510;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 35 a 44 años;De 1 a 30 días;438.874;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 35 a 44 años;De 31 días a 6 meses;6.913;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 35 a 44 años;Más de 6 meses;713;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 45 a 54 años;De 1 a 30 días;486.969;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 45 a 54 años;De 31 días a 6 meses;12.788;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 45 a 54 años;Más de 6 meses;1.028;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 55 a 64 años;De 1 a 30 días;662.127;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 55 a 64 años;De 31 días a 6 meses;21.844;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 55 a 64 años;Más de 6 meses;1.291;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 65 a 74 años;De 1 a 30 días;780.465;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 65 a 74 años;De 31 días a 6 meses;28.845;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 65 a 74 años;Más de 6 meses;1.240;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 75 a 84 años;De 1 a 30 días;816.998;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 75 a 84 años;De 31 días a 6 meses;33.969;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 75 a 84 años;Más de 6 meses;1.292;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 85 a 89 años;De 1 a 30 días;354.745;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 85 a 89 años;De 31 días a 6 meses;15.152;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 85 a 89 años;Más de 6 meses;649;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 90 a 94 años;De 1 a 30 días;219.779;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 90 a 94 años;De 31 días a 6 meses;8.574;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 90 a 94 años;Más de 6 meses;433;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 95 años y más;De 1 a 30 días;67.759;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 95 años y más;De 31 días a 6 meses;2.277;;
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);de 95 años y más;Más de 6 meses;151;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;total;De 1 a 30 días;189.137;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;total;De 31 días a 6 meses;7.802;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;total;Más de 6 meses;278;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;menores de 1 año;De 1 a 30 días;5.222;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;menores de 1 año;De 31 días a 6 meses;19;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;menores de 1 año;Más de 6 meses;2;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 1 a 4 años;De 1 a 30 días;7.018;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 1 a 4 años;De 31 días a 6 meses;23;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 1 a 4 años;Más de 6 meses;..;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 5 a 14 años;De 1 a 30 días;5.965;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 5 a 14 años;De 31 días a 6 meses;32;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 5 a 14 años;Más de 6 meses;..;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 15 a 24 años;De 1 a 30 días;6.804;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 15 a 24 años;De 31 días a 6 meses;60;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 15 a 24 años;Más de 6 meses;10;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 25 a 34 años;De 1 a 30 días;5.443;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 25 a 34 años;De 31 días a 6 meses;166;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 25 a 34 años;Más de 6 meses;15;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 35 a 44 años;De 1 a 30 días;6.851;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 35 a 44 años;De 31 días a 6 meses;309;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 35 a 44 años;Más de 6 meses;31;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 45 a 54 años;De 1 a 30 días;10.588;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 45 a 54 años;De 31 días a 6 meses;656;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 45 a 54 años;Más de 6 meses;35;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 55 a 64 años;De 1 a 30 días;18.178;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 55 a 64 años;De 31 días a 6 meses;1.252;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 55 a 64 años;Más de 6 meses;46;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 65 a 74 años;De 1 a 30 días;28.633;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 65 a 74 años;De 31 días a 6 meses;1.816;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 65 a 74 años;Más de 6 meses;52;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 75 a 84 años;De 1 a 30 días;43.657;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 75 a 84 años;De 31 días a 6 meses;2.150;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 75 a 84 años;Más de 6 meses;33;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 85 a 89 años;De 1 a 30 días;26.065;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 85 a 89 años;De 31 días a 6 meses;797;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 85 a 89 años;Más de 6 meses;32;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 90 a 94 años;De 1 a 30 días;18.549;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 90 a 94 años;De 31 días a 6 meses;413;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 90 a 94 años;Más de 6 meses;17;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 95 años y más;De 1 a 30 días;6.163;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 95 años y más;De 31 días a 6 meses;110;;
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;de 95 años y más;Más de 6 meses;5;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;total;De 1 a 30 días;22.825;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;total;De 31 días a 6 meses;337;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;total;Más de 6 meses;5;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;menores de 1 año;De 1 a 30 días;1.288;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;menores de 1 año;De 31 días a 6 meses;1;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;menores de 1 año;Más de 6 meses;1;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 1 a 4 años;De 1 a 30 días;2.846;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 1 a 4 años;De 31 días a 6 meses;1;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 1 a 4 años;Más de 6 meses;..;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 5 a 14 años;De 1 a 30 días;2.046;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 5 a 14 años;De 31 días a 6 meses;1;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 5 a 14 años;Más de 6 meses;..;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 15 a 24 años;De 1 a 30 días;1.633;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 15 a 24 años;De 31 días a 6 meses;..;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 15 a 24 años;Más de 6 meses;..;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 25 a 34 años;De 1 a 30 días;1.092;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 25 a 34 años;De 31 días a 6 meses;3;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 25 a 34 años;Más de 6 meses;..;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 35 a 44 años;De 1 a 30 días;1.052;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 35 a 44 años;De 31 días a 6 meses;7;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 35 a 44 años;Más de 6 meses;..;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 45 a 54 años;De 1 a 30 días;1.394;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 45 a 54 años;De 31 días a 6 meses;18;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 45 a 54 años;Más de 6 meses;..;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 55 a 64 años;De 1 a 30 días;1.954;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 55 a 64 años;De 31 días a 6 meses;33;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 55 a 64 años;Más de 6 meses;1;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 65 a 74 años;De 1 a 30 días;2.777;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 65 a 74 años;De 31 días a 6 meses;77;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 65 a 74 años;Más de 6 meses;1;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 75 a 84 años;De 1 a 30 días;3.555;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 75 a 84 años;De 31 días a 6 meses;102;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 75 a 84 años;Más de 6 meses;1;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 85 a 89 años;De 1 a 30 días;1.728;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 85 a 89 años;De 31 días a 6 meses;53;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 85 a 89 años;Más de 6 meses;..;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 90 a 94 años;De 1 a 30 días;1.126;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 90 a 94 años;De 31 días a 6 meses;35;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 90 a 94 años;Más de 6 meses;1;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 95 años y más;De 1 a 30 días;334;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 95 años y más;De 31 días a 6 meses;5;;
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;de 95 años y más;Más de 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;total;De 1 a 30 días;9.442;;
0102 Infecciones intestinales mal definidas A09;total;De 31 días a 6 meses;88;;
0102 Infecciones intestinales mal definidas A09;total;Más de 6 meses;2;;
0102 Infecciones intestinales mal definidas A09;menores de 1 año;De 1 a 30 días;230;;
0102 Infecciones intestinales mal definidas A09;menores de 1 año;De 31 días a 6 meses;1;;
0102 Infecciones intestinales mal definidas A09;menores de 1 año;Más de 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;de 1 a 4 años;De 1 a 30 días;675;;
0102 Infecciones intestinales mal definidas A09;de 1 a 4 años;De 31 días a 6 meses;..;;
0102 Infecciones intestinales mal definidas A09;de 1 a 4 años;Más de 6 meses;..;;
